"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"l",1,-2.07979937539589,-1.33385114393295,-0.456138988355204,0.268503040750597,3.82556544189708,TRUE,NA
"l",1.01,-2.08812150026271,-1.34469550028869,-0.468988051165224,0.26828267596947,3.86025139985939,TRUE,NA
"l",1.02,-2.09641337556309,-1.35547551133822,-0.481741083834276,0.268075567435047,3.89494904123986,TRUE,NA
"l",1.03,-2.10467524226179,-1.36619218480796,-0.49439999978117,0.26788066040435,3.92965787538972,TRUE,NA
"l",1.04,-2.11290734427192,-1.37684650883494,-0.506966656720493,0.267697005152693,3.96437744547826,TRUE,NA
"l",1.05,-2.12110992766956,-1.38743945185242,-0.519442858298074,0.267523745600778,3.9991073252584,TRUE,NA
"l",1.06,-2.12928324001092,-1.39797196257612,-0.531830355736121,0.267360109204463,4.03384711619137,TRUE,NA
"l",1.07,-2.13742752973911,-1.40844497007438,-0.544130849475978,0.267205397970109,4.06859644488667,TRUE,NA
"l",1.08,-2.14554304566949,-1.41885938390775,-0.556345990807231,0.267058980471524,4.10335496082072,TRUE,NA
"l",1.09,-2.15363003654356,-1.42921609432611,-0.568477383475706,0.266920284757165,4.13812233430261,TRUE,NA
"l",1.1,-2.16168875064301,-1.4395159725125,-0.580526585263103,0.266788792048033,4.17289825465656,TRUE,NA
"l",1.11,-2.16971943545642,-1.44975987086481,-0.59249510953357,0.26666403113721,4.20768242859727,TRUE,NA
"l",1.12,-2.17772233739186,-1.45994862330782,-0.604384426743218,0.266545573411677,4.24247457877543,TRUE,NA
"l",1.13,-2.18569770152994,-1.47008304562875,-0.616195965909322,0.266433028425995,4.27727444247323,TRUE,NA
"l",1.14,-2.19364577141203,-1.48016393583125,-0.627931116037708,0.266326039964998,4.31208177043391,TRUE,NA
"l",1.15,-2.20156678885945,-1.49019207450256,-0.639591227506381,0.266224282540089,4.34689632580893,TRUE,NA
"l",1.16,-2.20946099381967,-1.50016822519058,-0.651177613405017,0.266127458269708,4.38171788321064,TRUE,NA
"l",1.17,-2.21732862423621,-1.51009313478671,-0.662691550829771,0.266035294100492,4.41654622785725,TRUE,NA
"l",1.18,-2.22516991593934,-1.51996753391238,-0.674134282133494,0.265947539330323,4.45138115480144,TRUE,NA
"l",1.19,-2.23298510255488,-1.52979213730646,-0.685507016131776,0.265863963399234,4.486222468232,TRUE,NA
"l",1.2,-2.24077441542899,-1.53956764421169,-0.696810929265343,0.265784353917831,4.52106998084113,TRUE,NA
"l",1.21,-2.24853808356686,-1.54929473875868,-0.708047166719672,0.265708514906527,4.55592351325054,TRUE,NA
"l",1.22,-2.25627633358362,-1.55897409034589,-0.719216843502873,0.265636265221946,4.59078289348956,TRUE,NA
"l",1.23,-2.2639893896659,-1.56860635401464,-0.730321045482553,0.265567437149486,4.62564795651982,TRUE,NA
"l",1.24,-2.27167747354284,-1.57819217081829,-0.741360830383413,0.265501875143677,4.660518543802,TRUE,NA
"l",1.25,-2.27934080446508,-1.58773216818487,-0.752337228746116,0.265439434699733,4.69539450289951,TRUE,NA
"l",1.26,-2.28697959919113,-1.59722696027244,-0.763251244849389,0.26537998134207,4.7302756871164,TRUE,NA
"l",1.27,-2.29459407197973,-1.606677148317,-0.774103857595689,0.265323389716669,4.76516195516451,TRUE,NA
"l",1.28,-2.30218443458787,-1.61608332097258,-0.784896021363055,0.265269542776136,4.80005317085867,TRUE,NA
"l",1.29,-2.30975089627339,-1.6254460546431,-0.795628666822916,0.265218331047247,4.83494920283573,TRUE,NA
"l",1.3,-2.31729366380175,-1.63476591380614,-0.806302701726434,0.265169651972109,4.86984992429578,TRUE,NA
"l",1.31,-2.32481294145638,-1.64404345132824,-0.816919011659657,0.265123409314988,4.90475521276304,TRUE,NA
"l",1.32,-2.33230893105213,-1.65327920877208,-0.827478460769413,0.265079512627779,4.93966494986549,TRUE,NA
"l",1.33,-2.33978183195134,-1.66247371669505,-0.837981892460644,0.265037876767907,4.97457902112956,TRUE,NA
"l",1.34,-2.34723184108232,-1.67162749493985,-0.848430130066614,0.264998421463028,5.00949731579066,TRUE,NA
"l",1.35,-2.35465915295965,-1.68074105291675,-0.858823977492973,0.264961070917712,5.0444197266167,TRUE,NA
"l",1.36,-2.36206395970632,-1.68981488987776,-0.869164219836894,0.264925753457675,5.0793461497435,TRUE,NA
"l",1.37,-2.36944645107717,-1.6988494951831,-0.87945162398228,0.264892401207599,5.11427648452216,TRUE,NA
"l",1.38,-2.37680681448362,-1.70784534855959,-0.889686939171794,0.264860949799184,5.14921063337578,TRUE,NA
"l",1.39,-2.38414523501936,-1.71680292035173,-0.899870897557471,0.264831338106298,5.18414850166552,TRUE,NA
"l",1.4,-2.39146189548688,-1.72572267176513,-0.910004214729617,0.264803508004361,5.21908999756568,TRUE,NA
"l",1.41,-2.39875697642469,-1.73460505510282,-0.920087590226087,0.26477740415168,5.2540350319461,TRUE,NA
"l",1.42,-2.40603065613504,-1.74345051399442,-0.930121708022122,0.264752973790407,5.28898351826161,TRUE,NA
"l",1.43,-2.41328311071212,-1.75225948361849,-0.940107237001689,0.264730166565212,5.32393537244838,TRUE,NA
"l",1.44,-2.42051451407051,-1.76103239091812,-0.950044831411298,0.264708934357917,5.35889051282601,TRUE,NA
"l",1.45,-2.42772503797391,-1.76976965481014,-0.959935131296782,0.264689231136471,5.39384886000545,TRUE,NA
"l",1.46,-2.43491485206396,-1.77847168638789,-0.969778762924017,0.264671012816961,5.42881033680166,TRUE,NA
"l",1.47,-2.44208412388915,-1.787138889118,-0.979576339184012,0.264654237137305,5.46377486815145,TRUE,NA
"l",1.48,-2.44923301893374,-1.79577165903116,-0.989328459983326,0.26463886354154,5.49874238103534,TRUE,NA
"l",1.49,-2.45636170064665,-1.80437038490716,-0.999035712620149,0.264624853073725,5.53371280440363,TRUE,NA
"l",1.5,-2.46347033047015,-1.81293544845442,-1.00869867214691,0.264612168280481,5.56868606910673,TRUE,NA
"l",1.51,-2.47055906786859,-1.82146722448405,-1.0183179017196,0.26460077312141,5.60366210782772,TRUE,NA
"l",1.52,-2.47762807035675,-1.82996608107876,-1.02789395293505,0.264590632886682,5.63864085501971,TRUE,NA
"l",1.53,-2.48467749352816,-1.83843237975669,-1.03742736615578,0.264581714121017,5.67362224684532,TRUE,NA
"l",1.54,-2.49170749108303,-1.8468664756304,-1.04691867082363,0.264573984553611,5.70860622111932,TRUE,NA
"l",1.55,-2.49871821485607,-1.85526871756106,-1.05636838576241,0.264567413033397,5.74359271725346,TRUE,NA
"l",1.56,-2.50570981484388,-1.86363944830818,-1.06577701946999,0.264561969469152,5.77858167620496,TRUE,NA
"l",1.57,-2.51268243923217,-1.87197900467483,-1.07514507040014,0.264557624774055,5.81357304042572,TRUE,NA
"l",1.58,-2.5196362344226,-1.88028771764866,-1.08447302723493,0.264554350814274,5.84856675381534,TRUE,NA
"l",1.59,-2.5265713450593,-1.88856591253871,-1.09376136914769,0.264552120361278,5.88356276167471,TRUE,NA
"l",1.6,-2.53348791405506,-1.89681390910836,-1.10301056605701,0.264550907047449,5.91856101066306,TRUE,NA
"l",1.61,-2.54038608261721,-1.90503202170425,-1.11222107887228,0.264550685324848,5.95356144875517,TRUE,NA
"l",1.62,-2.5472659902731,-1.91322055938165,-1.12139335973104,0.264551430426768,5.98856402520195,TRUE,NA
"l",1.63,-2.55412777489527,-1.92137982602607,-1.13052785222825,0.264553118331839,6.02356869049149,TRUE,NA
"l",1.64,-2.56097157272623,-1.92951012047147,-1.13962499163819,0.264555725730584,6.05857539631187,TRUE,NA
"l",1.65,-2.56779751840289,-1.9376117366151,-1.14868520512904,0.264559229994053,6.09358409551603,TRUE,NA
"l",1.66,-2.57460574498062,-1.94568496352901,-1.15770891197031,0.264563609144527,6.12859474208727,TRUE,NA
"l",1.67,-2.58139638395699,-1.95373008556848,-1.1666965237337,0.264568841828019,6.16360729110619,TRUE,NA
"l",1.68,-2.58816956529506,-1.96174738247738,-1.17564844448763,0.264574907288486,6.19862169871966,TRUE,NA
"l",1.69,-2.59492541744643,-1.96973712949057,-1.18456507098516,0.264581785343593,6.23363792210952,TRUE,NA
"l",1.7,-2.60166406737378,-1.97769959743346,-1.19344679284632,0.264589456361897,6.26865591946389,TRUE,NA
"l",1.71,-2.60838564057318,-1.9856350528188,-1.20229399273447,0.264597901241397,6.30367564994838,TRUE,NA
"l",1.72,-2.615090261096,-1.99354375794079,-1.21110704652722,0.264607101389281,6.33869707367912,TRUE,NA
"l",1.73,-2.6217780515704,-2.00142597096669,-1.21988632348203,0.264617038702803,6.37372015169629,TRUE,NA
"l",1.74,-2.62844913322261,-2.00928194602578,-1.22863218639678,0.26462769555126,6.40874484593869,TRUE,NA
"l",1.75,-2.63510362589771,-2.01711193329606,-1.23734499176506,0.264639054758873,6.44377111921923,TRUE,NA
"l",1.76,-2.64174164808017,-2.02491617908849,-1.24602508992708,0.264651099588624,6.47879893520127,TRUE,NA
"l",1.77,-2.64836331691401,-2.03269492592907,-1.25467282521597,0.264663813726933,6.5138282583758,TRUE,NA
"l",1.78,-2.65496874822263,-2.04044841263862,-1.26328853609941,0.26467718126909,6.54885905403889,TRUE,NA
"l",1.79,-2.66155805652833,-2.04817687441051,-1.27187255531731,0.26469118670544,6.58389128827088,TRUE,NA
"l",1.8,-2.66813135507144,-2.05588054288629,-1.28042521001515,0.264705814908225,6.61892492791534,TRUE,NA
"l",1.81,-2.67468875582918,-2.06355964622942,-1.28894682187361,0.264721051119095,6.65395994055906,TRUE,NA
"l",1.82,-2.68123036953424,-2.07121440919692,-1.29743770723422,0.264736880937173,6.68899629451275,TRUE,NA
"l",1.83,-2.68775630569294,-2.07884505320927,-1.30589817722128,0.264753290307698,6.72403395879219,TRUE,NA
"l",1.84,-2.69426667260316,-2.08645179641847,-1.3143285378606,0.264770265511178,6.75907290310021,TRUE,NA
"l",1.85,-2.70076157737196,-2.09403485377429,-1.3227290901943,0.264787793153038,6.79411309780869,TRUE,NA
"l",1.86,-2.70724112593287,-2.10159443708898,-1.33110013039279,0.264805860153696,6.82915451394225,TRUE,NA
"l",1.87,-2.71370542306289,-2.1091307551001,-1.3394419498632,0.264824453739109,6.86419712316094,TRUE,NA
"l",1.88,-2.72015457239926,-2.11664401353191,-1.34775483535497,0.26484356143169,6.89924089774456,TRUE,NA
"l",1.89,-2.72658867645586,-2.12413441515522,-1.35603906906241,0.264863171041614,6.93428581057729,TRUE,NA
"l",1.9,-2.73300783663937,-2.13160215984562,-1.36429492872431,0.264883270658483,6.96933183513215,TRUE,NA
"l",1.91,-2.73941215326517,-2.13904744464041,-1.37252268772086,0.264903848643318,7.00437894545691,TRUE,NA
"l",1.92,-2.74580172557297,-2.1464704637939,-1.3807226151679,0.264924893620887,7.03942711615953,TRUE,NA
"l",1.93,-2.7521766517421,-2.15387140883165,-1.38889497600849,0.2649463944723,7.07447632239439,TRUE,NA
"l",1.94,-2.75853702890667,-2.16125046860302,-1.39704003110208,0.264968340327934,7.10952653984924,TRUE,NA
"l",1.95,-2.76488295317034,-2.16860782933272,-1.40515803731123,0.264990720560579,7.14457774473194,TRUE,NA
"l",1.96,-2.77121451962095,-2.175943674671,-1.41324924758593,0.265013524778865,7.17962991375795,TRUE,NA
"l",1.97,-2.77753182234481,-2.18325818574253,-1.42131391104579,0.265036742820943,7.21468302413817,TRUE,NA
"l",1.98,-2.78383495444083,-2.19055154119426,-1.42935227305974,0.265060364748341,7.24973705356658,TRUE,NA
"l",1.99,-2.79012400803433,-2.19782391724205,-1.43736457532412,0.265084380840114,7.28479198020945,TRUE,NA
"l",2,-2.79639907429069,-2.20507548771625,-1.4453510559382,0.265108781587109,7.31984778269379,TRUE,NA
"l",2.01,-2.80266024342872,-2.21230642410601,-1.45331194947798,0.265133557686529,7.35490444009598,TRUE,NA
"l",2.02,-2.80890760473384,-2.2195168956028,-1.46124748706803,0.265158700036608,7.38996193193161,TRUE,NA
"l",2.03,-2.815141246571,-2.22670706914274,-1.46915789645152,0.265184199731483,7.42502023814527,TRUE,NA
"l",2.04,-2.82136125639741,-2.23387710944803,-1.47704340205826,0.265210048056239,7.46007933910037,TRUE,NA
"l",2.05,-2.82756772077505,-2.2410271790673,-1.48490422507119,0.265236236482138,7.49513921556909,TRUE,NA
"l",2.06,-2.833760725383,-2.24815743841513,-1.49274058349109,0.265262756661977,7.53019984872314,TRUE,NA
"l",2.07,-2.83994035502948,-2.25526804581067,-1.50055269219967,0.265289600425585,7.56526122012503,TRUE,NA
"l",2.08,-2.84610669366378,-2.26235915751523,-1.50834076302098,0.265316759775503,7.60032331171768,TRUE,NA
"l",2.09,-2.85225982438794,-2.26943092776923,-1.51610500478148,0.265344226882747,7.63538610581757,TRUE,NA
"l",2.1,-2.85839982946828,-2.27648350882807,-1.5238456233684,0.265371994082763,7.67044958510431,TRUE,NA
"l",2.11,-2.86452679034667,-2.28351705099741,-1.53156282178679,0.265400053871445,7.70551373261381,TRUE,NA
"l",2.12,-2.87064078765169,-2.29053170266753,-1.53925680021505,0.265428398901303,7.74057853172956,TRUE,NA
"l",2.13,-2.87674190120954,-2.29752761034687,-1.54692775605923,0.265457021977761,7.77564396617465,TRUE,NA
"l",2.14,-2.88283021005481,-2.30450491869507,-1.55457588400593,0.265485916055517,7.8107100200047,TRUE,NA
"l",2.15,-2.88890579244109,-2.31146377055489,-1.56220137607383,0.265515074235079,7.8457766775997,TRUE,NA
"l",2.16,-2.89496872585133,-2.31840430698384,-1.56980442166419,0.265544489759317,7.88084392365722,TRUE,NA
"l",2.17,-2.90101908700812,-2.32532666728481,-1.57738520760999,0.2655741560102,7.91591174318546,TRUE,NA
"l",2.18,-2.90705695188375,-2.33223098903614,-1.58494391822378,0.265604066505556,7.9509801214956,TRUE,NA
"l",2.19,-2.9130823957101,-2.33911740812109,-1.59248073534473,0.265634214895964,7.9860490441961,TRUE,NA
"l",2.2,-2.91909549298841,-2.34598605875653,-1.59999583838419,0.265664594961725,8.02111849718523,TRUE,NA
"l",2.21,-2.92509631749887,-2.3528370735212,-1.60748940437051,0.265695200609902,8.05618846664547,TRUE,NA
"l",2.22,-2.93108494231004,-2.35967058338316,-1.61496160799261,0.265726025871478,8.0912589390366,TRUE,NA
"l",2.23,-2.93706143978814,-2.36648671772683,-1.62241262164242,0.265757064898522,8.12632990109038,TRUE,NA
"l",2.24,-2.94302588160618,-2.37328560437932,-1.62984261545677,0.265788311961532,8.16140133980376,TRUE,NA
"l",2.25,-2.94897833875294,-2.38006736963633,-1.63725175735788,0.265819761446747,8.19647324243401,TRUE,NA
"l",2.26,-2.95491888154183,-2.38683213828734,-1.64464021309301,0.2658514078536,8.23154559649238,TRUE,NA
