"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"delta",0,-1.24898501267061,0.230781970184512,1.21095243219518,1.25816854330837,2.5599635618758,TRUE,NA
"delta",0.01,-1.24501014334954,0.231471039590047,1.21182177055323,1.25800869793347,2.57005025704325,TRUE,NA
"delta",0.02,-1.24103714077172,0.23217221288299,1.21270229982262,1.25786368447001,2.58017318477485,TRUE,NA
"delta",0.03,-1.23706602600496,0.232885510887859,1.21359402099505,1.25773351662758,2.5903323526957,TRUE,NA
"delta",0.04,-1.23309682011299,0.233610953252706,1.2144969343493,1.25761820730608,2.60052776777277,TRUE,NA
"delta",0.05,-1.22912954415634,0.234348558451879,1.21541103945311,1.25751776859413,2.61075943631798,TRUE,NA
"delta",0.06,-1.22516421919315,0.235098343789333,1.2163363351655,1.25743221176765,2.62102736399117,TRUE,NA
"delta",0.07,-1.22120086628003,0.235860325402295,1.21727281963905,1.25736154728899,2.63133155580306,TRUE,NA
"delta",0.08,-1.21723950647328,0.2366345182643,1.21822049032205,1.25730578480333,2.64167201611932,TRUE,NA
"delta",0.09,-1.21328016082936,0.23742093619113,1.21917934396178,1.25726493314277,2.65204874866212,TRUE,NA
"delta",0.1,-1.20932285040644,0.238219591843681,1.22014937660679,1.25723900032055,2.66246175651515,TRUE,NA
"delta",0.11,-1.20536759626522,0.239030496733601,1.22113058360983,1.25722799353289,2.67291104212619,TRUE,NA
"delta",0.12,-1.20141441947013,0.239853661228334,1.22212295963121,1.25723191915817,2.68339660731075,TRUE,NA
"delta",0.13,-1.19746334109044,0.240689094556718,1.22312649864189,1.25725078275664,2.69391845325549,TRUE,NA
"delta",0.14,-1.19351438220154,0.241536804814612,1.22414119392678,1.2572845890703,2.70447658052192,TRUE,NA
"delta",0.15,-1.18956756388614,0.242396798971059,1.22516703808837,1.25733334202308,2.71507098905001,TRUE,NA
"delta",0.16,-1.18562290723558,0.243269082874747,1.22620402305035,1.25739704472106,2.72570167816175,TRUE,NA
"delta",0.17,-1.18168043335119,0.244153661260528,1.22725214006135,1.25747569945291,2.73636864656507,TRUE,NA
"delta",0.18,-1.17774016334563,0.245050537756587,1.22831137969898,1.25756930769056,2.7470718923574,TRUE,NA
"delta",0.19,-1.1738021183444,0.245959714891283,1.22938173187369,1.25767787008988,2.75781141302981,TRUE,NA
"delta",0.2,-1.16986631948713,0.246881194101264,1.23046318583343,1.25780138649178,2.76858720547037,TRUE,NA
"delta",0.21,-1.16593278792933,0.247814975738424,1.23155573016729,1.25793985592321,2.77939926596867,TRUE,NA
"delta",0.22,-1.1620015448437,0.248761059078648,1.23265935281065,1.25809327659855,2.79024759021915,TRUE,NA
"delta",0.23,-1.15807261142187,0.249719442329569,1.23377404104887,1.25826164592073,2.80113217332548,TRUE,NA
"delta",0.24,-1.154146008876,0.250690122639207,1.23489978152321,1.25844496048358,2.81205300980441,TRUE,NA
"delta",0.25,-1.1502217584404,0.251673096104735,1.23603656023453,1.25864321607285,2.82301009358972,TRUE,NA
"delta",0.26,-1.14629988137323,0.252668357781412,1.23718436254864,1.25885640766847,2.83400341803629,TRUE,NA
"delta",0.27,-1.14238039895846,0.25367590169133,1.23834317320138,1.25908452944659,2.84503297592449,TRUE,NA
"delta",0.28,-1.13846333250725,0.254695720833625,1.23951297630312,1.2593275747817,2.85609875946352,TRUE,NA
"delta",0.29,-1.13454870336011,0.255727807193315,1.24069375534614,1.2595855362499,2.86720076029611,TRUE,NA
"delta",0.3,-1.1306365328887,0.256772151751092,1.24188549320655,1.25985840563009,2.87833896950259,TRUE,NA
"delta",0.31,-1.12672684249753,0.257828744493887,1.24308817215288,1.26014617390775,2.88951337760446,TRUE,NA
"delta",0.32,-1.12281965362635,0.258897574423704,1.24430177384835,1.2604488312765,2.90072397456959,TRUE,NA
"delta",0.33,-1.11891498775133,0.259978629569941,1.24552627936199,1.26076636714393,2.91197074981455,TRUE,NA
"delta",0.34,-1.11501286638787,0.261071896997846,1.24676166916762,1.26109877013117,2.92325369221048,TRUE,NA
"delta",0.35,-1.11111331109252,0.262177362819359,1.24800792315339,1.26144602807851,2.93457279008697,TRUE,NA
"delta",0.36,-1.10721634346425,0.263295012205909,1.24926502062829,1.26180812804813,2.94592803123434,TRUE,NA
"delta",0.37,-1.10332198514751,0.264424829396919,1.25053294032733,1.26218505632877,2.95731940290984,TRUE,NA
"delta",0.38,-1.09943025783402,0.265566797711646,1.25181166041369,1.26257679843637,2.96874689184099,TRUE,NA
"delta",0.39,-1.0955411832652,0.266720899559749,1.25310115849313,1.26298333912246,2.98021048423012,TRUE,NA
"delta",0.4,-1.09165478323295,0.267887116456052,1.25440141161223,1.26340466237396,2.99171016575537,TRUE,NA
"delta",0.41,-1.08777107958548,0.269065429022925,1.25571239626228,1.26384075141766,3.00324592158256,TRUE,NA
"delta",0.42,-1.08389009422375,0.270255817016346,1.25703408840687,1.26429158873119,3.01481773635637,TRUE,NA
"delta",0.43,-1.08001184910923,0.271458259323782,1.25836646346718,1.26475715604093,3.02642559421635,TRUE,NA
"delta",0.44,-1.0761363662638,0.272672733981929,1.25970949631092,1.26523743431757,3.03806947879546,TRUE,NA
"delta",0.45,-1.07226366777449,0.27389921818251,1.26106316130751,1.26573240380595,3.0497493732292,TRUE,NA
"delta",0.46,-1.06839377578532,0.275137688309997,1.26242743231103,1.26624204400664,3.06146526013681,TRUE,NA
"delta",0.47,-1.0657074301264,0.276310927698272,1.26382249207885,1.26735434518519,3.07328567189376,TRUE,NA
"delta",0.48,-1.06255027174269,0.277521801245286,1.26506489634702,1.26860468034509,3.08512029481582,TRUE,NA
"delta",0.49,-1.05680052789659,0.278926310195891,1.26658607661146,1.26907954393679,3.0968273557625,TRUE,NA
"delta",0.5,NA,NA,NA,NA,NA,FALSE,"Degenerate case |a_{i,1}| ~= 0 detected; the cubic fallback is not implemented."
"delta",0.51,-1.0490871301296,0.281509098187184,1.26940716997931,1.26862567957353,3.12058380660356,TRUE,NA
"delta",0.52,-1.04523400200699,0.282820261834852,1.27083659442977,1.26841569058142,3.13251411895154,TRUE,NA
"delta",0.53,-1.04138326903634,0.284144594312897,1.27227858604864,1.26821698599872,3.14447911302882,TRUE,NA
"delta",0.54,-1.03753494352503,0.285482083583125,1.27373312935222,1.2680295556396,3.15647875903548,TRUE,NA
"delta",0.55,-1.03368903744689,0.286832717951938,1.27520020803591,1.26785338942678,3.16851302613789,TRUE,NA
"delta",0.56,-1.02984556283012,0.288196485151907,1.27667980587417,1.26768847711925,3.18058188328088,TRUE,NA
"delta",0.57,-1.02600453182473,0.289573372203125,1.27817190605767,1.26753480815246,3.19268529932487,TRUE,NA
"delta",0.58,-1.02216595669039,0.290963365467484,1.27967649146861,1.26739237168057,3.20482324301677,TRUE,NA
"delta",0.59,-1.01832984980691,0.292366450648153,1.28119354457562,1.26726115656509,3.21699568300776,TRUE,NA
"delta",0.6,-1.01449622367379,0.293782612815556,1.28272304750587,1.26714115140374,3.22920258784838,TRUE,NA
"delta",0.61,-1.0106650909249,0.295211836396993,1.28426498199851,1.26703234451077,3.24144392601424,TRUE,NA
"delta",0.62,-1.00683646432667,0.296654105206033,1.28581932944066,1.26693472394243,3.25371966589783,TRUE,NA
"delta",0.63,-1.00301035679024,0.298109402438446,1.28738607085951,1.26684827748891,3.26602977582847,TRUE,NA
"delta",0.64,-0.999186781373029,0.299577710693458,1.2889651869224,1.26677299268476,3.27837422407059,TRUE,NA
"delta",0.65,-0.995365751286781,0.301059011979776,1.29055665795485,1.26670885681475,3.2907529788347,TRUE,NA
"delta",0.66,-0.99154727990469,0.302553287723639,1.29216046393083,1.26665585691439,3.30316600828639,TRUE,NA
"delta",0.67,-0.987731380765862,0.304060518783387,1.2937765844843,1.26661397977891,3.31561328054964,TRUE,NA
"delta",0.68,-0.983918067582406,0.305580685457792,1.29540499891149,1.26658321196727,3.3280947637151,TRUE,NA
"delta",0.69,-0.980107354246708,0.30711376749397,1.29704568617304,1.26656353980527,3.34061042584848,TRUE,NA
"delta",0.7,-0.976299254836091,0.308659744101519,1.29869862490228,1.26655494939239,3.35316023499351,TRUE,NA
"delta",0.71,-0.972493783620478,0.310218593959576,1.30036379340538,1.2665574266059,3.36574415918047,TRUE,NA
"delta",0.72,-0.968690955068863,0.311790295226705,1.30204116966556,1.26657095710482,3.37836216643223,TRUE,NA
"delta",0.73,-0.964890783855148,0.313374825552286,1.30373073134994,1.26659552633627,3.3910142247686,TRUE,NA
"delta",0.74,-0.961093284865579,0.314972162084143,1.30543245581077,1.26663111953863,3.40370030221371,TRUE,NA
"delta",0.75,-0.957298473204747,0.316582281479548,1.30714632008934,1.26667772174684,3.41642036680014,TRUE,NA
"delta",0.76,-0.95350636420255,0.318205159913971,1.30887230092169,1.26673531779718,3.42917438657477,TRUE,NA
"delta",0.77,-0.949716973420995,0.319840773090174,1.3106103747396,1.26680389233141,3.44196232960394,TRUE,NA
"delta",0.78,-0.945930316660765,0.321489096247879,1.31236051767687,1.26688342980145,3.45478416397794,TRUE,NA
"delta",0.79,-0.942146409968235,0.323150104172331,1.31412270557098,1.26697391447376,3.46763985781603,TRUE,NA
"delta",0.8,-0.938365269642134,0.324823771203688,1.31589691396785,1.2670753304339,3.48052937927055,TRUE,NA
"delta",0.81,-0.934586912240656,0.326510071245336,1.31768311812462,1.26718766159059,3.49345269653152,TRUE,NA
"delta",0.82,-0.930811354588151,0.328208977773153,1.31948129301419,1.26731089168039,3.50640977783023,TRUE,NA
"delta",0.83,-0.927038613782412,0.329920463843357,1.32129141332712,1.26744500427159,3.51940059144362,TRUE,NA
"delta",0.84,-0.923268707201365,0.331644502101695,1.3231134534761,1.26758998276861,3.53242510569728,TRUE,NA
"delta",0.85,-0.919501652510473,0.333381064790959,1.32494738759914,1.267745810416,3.54548328896949,TRUE,NA
"delta",0.86,-0.915737467669551,0.335130123759808,1.32679318956223,1.26791247030259,3.55857510969384,TRUE,NA
"delta",0.87,-0.911976170940092,0.336891650470367,1.3286508329631,1.26808994536547,3.57170053636255,TRUE,NA
"delta",0.88,-0.908217780892389,0.338665616006263,1.33052029113406,1.268278218394,3.5848595375291,TRUE,NA
"delta",0.89,-0.904462316412777,0.340451991080325,1.33240153714519,1.26847727203354,3.59805208181077,TRUE,NA
"delta",0.9,-0.900709796710834,0.342250746042329,1.3342945438072,1.26868708878953,3.61127813789087,TRUE,NA
"delta",0.91,-0.896960241326819,0.344061850886141,1.3361992836743,1.26890765103094,3.62453767452106,TRUE,NA
"delta",0.92,-0.893213670138863,0.345885275257386,1.33811572904733,1.2691389409943,3.63783066052294,TRUE,NA
"delta",0.93,-0.88947010337047,0.347720988460344,1.34004385197618,1.26938094078708,3.65115706478988,TRUE,NA
"delta",0.94,-0.885729561597849,0.349568959465159,1.34198362426272,1.26963363239135,3.66451685628832,TRUE,NA
"delta",0.95,-0.881992065757422,0.3514291569146,1.34393501746346,1.26989699766732,3.67791000405904,TRUE,NA
"delta",0.96,-0.8782576371533,0.353301549130835,1.34589800289194,1.2701710183567,3.6913364772181,TRUE,NA
"delta",0.97,-0.874526297464813,0.355186104122008,1.3478725516214,1.27045567608609,3.70479624495751,TRUE,NA
"delta",0.98,-0.870798068754078,0.35708278958867,1.34985863448719,1.27075095237031,3.71828927654583,TRUE,NA
"delta",0.99,-0.867072973473599,0.358991572930066,1.351856222089,1.27105682861558,3.73181554132835,TRUE,NA
"delta",1,-0.863351034473934,0.36091242125021,1.35386528479314,1.27137328612267,3.74537500872721,TRUE,NA
"delta",1.01,-0.859632275011335,0.36284530136394,1.35588579273491,1.27170030609,3.75896764824116,TRUE,NA
"delta",1.02,-0.855916718755485,0.364790179802694,1.35791771582055,1.27203786961666,3.77259342944516,TRUE,NA
"delta",1.03,-0.852204389797242,0.366747022820201,1.35996102372932,1.27238595770531,3.78625232198969,TRUE,NA
"delta",1.04,-0.848495312656416,0.368715796398002,1.36201568591552,1.27274455126506,3.79994429559991,TRUE,NA
"delta",1.05,-0.844789512289607,0.370696466250791,1.3640816716103,1.27311363111428,3.81366932007451,TRUE,NA
"delta",1.06,-0.841087014098026,0.372688997831696,1.36615894982352,1.27349317798325,3.82742736528433,TRUE,NA
"delta",1.07,-0.837387843935417,0.374693356337276,1.36824748934542,1.27388317251689,3.84121840117081,TRUE,NA
"delta",1.08,-0.833692028115955,0.376709506712475,1.37034725874837,1.27428359527723,3.85504239774409,TRUE,NA
"delta",1.09,-0.829999593422218,0.378737413655348,1.37245822638829,1.27469442674595,3.86889932508105,TRUE,NA
"delta",1.1,-0.826310567113153,0.380777041621724,1.3745803604063,1.27511564732678,3.88278915332286,TRUE,NA
"delta",1.11,-0.822624976932124,0.382828354829593,1.37671362872993,1.27554723734783,3.89671185267258,TRUE,NA
"delta",1.12,-0.818942851114935,0.384891317263475,1.37885799907467,1.27598917706383,3.91066739339226,TRUE,NA
"delta",1.13,-0.815264218397952,0.386965892678506,1.38101343894497,1.27644144665835,3.92465574580002,TRUE,NA
"delta",1.14,-0.811589108026168,0.389052044604528,1.3831799156356,1.27690402624584,3.93867688026671,TRUE,NA
"delta",1.15,-0.807917549761406,0.39114973634984,1.38535739623257,1.27737689587369,3.95273076721247,TRUE,NA
"delta",1.16,-0.804249573890438,0.393258931005002,1.38754584761423,1.2778600355242,3.96681737710295,TRUE,NA
"delta",1.17,-0.800585211233234,0.395379591446313,1.38974523645213,1.27835342511636,3.98093668044536,TRUE,NA
"delta",1.18,-0.79692449315118,0.39751168033924,1.39195552921182,1.2788570445077,3.99508864778426,TRUE,NA
"delta",1.19,-0.793267451555321,0.399655160141709,1.39417669215367,1.279370873496,4.00927324969707,TRUE,NA
"delta",1.2,-0.789614118914682,0.40180999310716,1.39640869133342,1.27989489182088,4.02349045678941,TRUE,NA
"delta",1.21,-0.785964528264549,0.403976141287572,1.39865149260288,1.28042907916536,4.03774023969012,TRUE,NA
"delta",1.22,-0.782318713214838,0.406153566536219,1.40090506161029,1.28097341515734,4.05202256904612,TRUE,NA
