"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"sigma",0.1,-1.15514849777814,-0.802003414167884,-0.163755238617862,0.321482328523907,1.9343680519191,TRUE,NA
"sigma",0.11,-1.15824209056553,-0.808606866783058,-0.168794623293168,0.321299964307258,1.95152474035761,TRUE,NA
"sigma",0.12,-1.16137642489201,-0.815003698726155,-0.173673863869473,0.321231052039175,1.96879520029496,TRUE,NA
"sigma",0.13,-1.16455057488902,-0.821190161618556,-0.178394126007843,0.321272922174605,1.98617804147436,TRUE,NA
"sigma",0.14,-1.16776363546589,-0.827162794835954,-0.182956647579795,0.321422973667125,2.00367190831651,TRUE,NA
"sigma",0.15,-1.17101471675126,-0.832918453148054,-0.187362755336803,0.321678667924161,2.02127546684804,TRUE,NA
"sigma",0.16,-1.17430293868145,-0.838454335251464,-0.191613882361393,0.322037522762449,2.0389873917959,TRUE,NA
"sigma",0.17,-1.17762742580433,-0.843768012775628,-0.1957115858912,0.322497106442755,2.05680635400654,TRUE,NA
"sigma",0.18,-1.1809873023719,-0.848857459461451,-0.199657565071537,0.323055031859613,2.07473100836365,TRUE,NA
"sigma",0.19,-1.1843816878007,-0.853721081007706,-0.203453678151219,0.323708950971789,2.09275998239763,TRUE,NA
"sigma",0.2,-1.18780969259258,-0.858357748482013,-0.207101958559877,0.324456549568838,2.11089186581688,TRUE,NA
"sigma",0.21,-1.19127041483894,-0.862766842374984,-0.210604629147259,0.325295542502582,2.12912520127055,TRUE,NA
"sigma",0.22,-1.19476293749053,-0.866948317890296,-0.213964113597279,0.326223669566445,2.147458476801,TRUE,NA
"sigma",0.23,-1.19828632663171,-0.87090280035942,-0.217183043717144,0.327238692264156,2.16589012059252,TRUE,NA
"sigma",0.24,-1.20183963102704,-0.874631710272408,-0.220264261140813,0.328338391744566,2.18441849870721,TRUE,NA
"sigma",0.25,-1.20542188316157,-0.878137403350448,-0.223210812165611,0.329520568152436,2.20304191640478,TRUE,NA
"sigma",0.26,-1.20903210185746,-0.881423299420852,-0.226025935031398,0.330783041540639,2.22175862332188,TRUE,NA
"sigma",0.27,-1.2126692963676,-0.884493970702558,-0.228713039835823,0.332123654353098,2.2405668223527,TRUE,NA
"sigma",0.28,-1.2163324716578,-0.887355166757656,-0.231275682191623,0.333540275349911,2.25946468160917,TRUE,NA
"sigma",0.29,-1.22002063446061,-0.890013766437361,-0.23371753243466,0.335030804759282,2.27845034850968,TRUE,NA
"sigma",0.3,-1.22373279963887,-0.892477661306681,-0.236042342534527,0.33659318041477,2.29752196491199,TRUE,NA
"sigma",0.31,-1.22746799642303,-0.894755585866675,-0.238253912827498,0.338225384645798,2.31667768224277,TRUE,NA
"sigma",0.32,-1.2312252741772,-0.896856915401386,-0.240356060379408,0.339925451720524,2.33591567577265,TRUE,NA
"sigma",0.33,-1.2350037074604,-0.898791452655942,-0.24235259031869,0.341691475660957,2.35523415744095,TRUE,NA
"sigma",0.34,-1.23880240025551,-0.900569221318687,-0.24424727096522,0.343521618217413,2.37463138687882,TRUE,NA
"sigma",0.35,-1.24262048934025,-0.902200279300391,-0.246043813138124,0.345414116800953,2.39410568052821,TRUE,NA
"sigma",0.36,-1.24645714683139,-0.903694559545981,-0.247745853643506,0.347367292073711,2.41365541888705,TRUE,NA
"sigma",0.37,-1.2503115819844,-0.905061741592009,-0.249356942713292,0.349379554905203,2.43327905204434,TRUE,NA
"sigma",0.38,-1.25418304233826,-0.906311153658374,-0.250880534977214,0.351449412356032,2.45297510368887,TRUE,NA
"sigma",0.39,-1.25807081431785,-0.907451702849569,-0.252319983512165,0.353575472386634,2.47274217383837,TRUE,NA
"sigma",0.4,-1.26197422337577,-0.90849182977898,-0.253678536450855,0.355756447007533,2.49257894046488,TRUE,NA
"sigma",0.41,-1.26589263376334,-0.909439483478813,-0.254959335685422,0.357991153675567,2.51248416021627,TRUE,NA
"sigma",0.42,-1.26982544799262,-0.910302112478114,-0.256165417215475,0.360278514813263,2.53245666836965,TRUE,NA
"sigma",0.43,-1.27377210606356,-0.911086668303732,-0.25729971278245,0.362617555447967,2.5524953781856,TRUE,NA
"sigma",0.44,-1.2777320844714,-0.911799618097354,-0.258365052402378,0.365007399013456,2.57259927968764,TRUE,NA
"sigma",0.45,-1.28170489504974,-0.912446963644203,-0.25936416759262,0.36744726148838,2.59276743799448,TRUE,NA
"sigma",0.46,-1.28569008371029,-0.913034264651078,-0.260299695019083,0.369936444126207,2.61299899135097,TRUE,NA
"sigma",0.47,-1.28968722897469,-0.913566664395889,-0.261174180342144,0.372474324922525,2.63329314858043,TRUE,NA
"sigma",0.48,-1.29369594057587,-0.914048916741949,-0.261990082408582,0.375060349374598,2.65364918666248,TRUE,NA
"sigma",0.49,-1.29771585820908,-0.914485413617501,-0.262749776668573,0.377694020911773,2.67406644864733,TRUE,NA
"sigma",0.5,NA,NA,NA,NA,NA,FALSE,"S1: |a_{i,1}|≈0 detected. Use the cubic (Remark 1) branch for p_i(x)."
"sigma",0.51,-1.30578800536689,-0.915237051616932,-0.264109654351749,0.383102542850913,2.71508231496005,TRUE,NA
"sigma",0.52,-1.30983964687322,-0.915559398212829,-0.264714207829681,0.385876596593697,2.73567990052095,TRUE,NA
"sigma",0.53,-1.31390131498838,-0.915850447461067,-0.265271302561771,0.388696685017478,2.75633666552819,TRUE,NA
"sigma",0.54,-1.31797277215857,-0.916113154514877,-0.265782954183152,0.391562451452926,2.77705222815135,TRUE,NA
"sigma",0.55,-1.3220538008177,-0.916350253051559,-0.266251116011294,0.394473541532621,2.79782625225653,TRUE,NA
"sigma",0.56,-1.32614420163219,-0.916564273272153,-0.266677681541798,0.397429596210507,2.81865844352269,TRUE,NA
"sigma",0.57,-1.33024379188558,-0.916757558513872,-0.267064486878309,0.400430245834689,2.83954854585012,TRUE,NA
"sigma",0.58,-1.33435240406696,-0.916932280620042,-0.267413312974883,0.403475105344722,2.86049633823927,TRUE,NA
"sigma",0.59,-1.33846988443162,-0.91709045387208,-0.267725887558745,0.406563770335161,2.8815016315304,TRUE,NA
"sigma",0.6,-1.34259609170414,-0.91723394777662,-0.268003887015729,0.409695814107461,2.90256426545922,TRUE,NA
"sigma",0.61,-1.34673089581655,-0.917364498671696,-0.268248938029689,0.41287078553714,2.92368410574684,TRUE,NA
"sigma",0.62,-1.35087417674092,-0.917483720314949,-0.268462619108604,0.416088207736295,2.94486104138546,TRUE,NA
"sigma",0.63,-1.35502582340012,-0.917593113524358,-0.268646461974768,0.419347577410423,2.96609498208112,TRUE,NA
