"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"sigma",3.28,-1.79813051612927,-0.0380607651172014,0.808372643897398,1.73624009839629,7.01327335303533,TRUE,NA
"sigma",3.29,-1.80163028541108,-0.0378204809332385,0.808864788556299,1.74002380345351,7.03587168531041,TRUE,NA
"sigma",3.3,-1.80512824592701,-0.0375819317370769,0.809354573993417,1.7438038269184,7.05848798424355,TRUE,NA
"sigma",3.31,-1.80862439607806,-0.0373451014601156,0.809842017252476,1.74758018314945,7.08112220608876,TRUE,NA
"sigma",3.32,-1.8121187343477,-0.0371099742186687,0.81032713521219,1.75135288642344,7.10377430737392,TRUE,NA
"sigma",3.33,-1.81561125930027,-0.0368765343114283,0.810809944588215,1.75512195093587,7.12644424489794,TRUE,NA
"sigma",3.34,-1.81910196957952,-0.0366447662169547,0.811290461935103,1.75888739080129,7.14913197572809,TRUE,NA
"sigma",3.35,-1.822590863907,-0.0364146545912249,0.811768703648218,1.76264922005364,7.17183745719727,TRUE,NA
"sigma",3.36,-1.82607794108065,-0.0361861842651989,0.812244685965625,1.76640745264665,7.19456064690137,TRUE,NA
"sigma",3.37,-1.82956319997332,-0.035959340242437,0.812718424969956,1.77016210245415,7.21730150269664,TRUE,NA
"sigma",3.38,-1.83304663953134,-0.0357341076967601,0.813189936590242,1.77391318327053,7.24005998269714,TRUE,NA
"sigma",3.39,-1.8365282587731,-0.035510471969926,0.813659236603739,1.77766070881104,7.26283604527215,TRUE,NA
"sigma",3.4,-1.84000805678771,-0.0352884185693674,0.814126340637704,1.78140469271222,7.28562964904371,TRUE,NA
"sigma",3.41,-1.84348603273365,-0.0350679331659427,0.814591264171162,1.78514514853228,7.30844075288408,TRUE,NA
"sigma",3.42,-1.84696218583741,-0.0348490015917371,0.815054022536656,1.78888208975146,7.33126931591333,TRUE,NA
"sigma",3.43,-1.85043651539223,-0.0346316098378956,0.81551463092195,1.79261552977247,7.35411529749694,TRUE,NA
"sigma",3.44,-1.85390902075678,-0.0344157440524753,0.815973104371733,1.79634548192087,7.37697865724337,TRUE,NA
"sigma",3.45,-1.85737970135397,-0.0342013905383578,0.81642945778928,1.80007195944545,7.39985935500178,TRUE,NA
"sigma",3.46,-1.86084855666967,-0.0339885357511682,0.816883705938102,1.80379497551866,7.42275735085962,TRUE,NA
"sigma",3.47,-1.86431558625154,-0.0337771662972381,0.817335863443577,1.80751454323702,7.44567260514043,TRUE,NA
"sigma",3.48,-1.8677807897078,-0.033567268931602,0.817785944794546,1.8112306756215,7.46860507840152,TRUE,NA
"sigma",3.49,-1.87124416670614,-0.0333588305560217,0.818233964344896,1.81494338561796,7.49155473143178,TRUE,NA
"sigma",3.5,-1.87470571697252,-0.0331518382170355,0.818679936315119,1.81865268609752,7.51452152524946,TRUE,NA
"sigma",3.51,-1.87816544029007,-0.0329462791040469,0.819123874793858,1.82235858985704,7.5375054211,TRUE,NA
"sigma",3.52,-1.881623336498,-0.032742140547436,0.819565793739414,1.82606110961948,7.56050638045389,TRUE,NA
"sigma",3.53,-1.88507940549054,-0.0325394100167045,0.820005706981249,1.82976025803434,7.58352436500456,TRUE,NA
"sigma",3.54,-1.88853364721582,-0.0323380751186435,0.820443628221465,1.83345604767806,7.60655933666628,TRUE,NA
"sigma",3.55,-1.8919860616749,-0.0321381235955311,0.820879571036263,1.83714849105449,7.62961125757211,TRUE,NA
