"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"mu",1.96078431372549,-0.654701464966648,0.577483259860633,1.06708623302817,1.22250094254811,2.93863400822973,TRUE,NA
"mu",1.92307692307692,-0.657969536127095,0.574594483537074,1.07401813075014,1.22346836812518,2.9529239104713,TRUE,NA
"mu",1.88679245283019,-0.661288723250329,0.571617247092494,1.08088447618338,1.22445853830262,2.96730277549805,TRUE,NA
"mu",1.85185185185185,-0.664658450903107,0.56855280850022,1.08768656521631,1.22547329762565,2.98177085635692,TRUE,NA
"mu",1.81818181818182,-0.668078154990536,0.565402441602082,1.09442566022367,1.22651441773959,2.99632842117556,TRUE,NA
"mu",1.78571428571429,-0.671547280336317,0.562167438014035,1.10110299392946,1.22758359560157,3.0109757497271,TRUE,NA
"mu",1.75438596491228,-0.675065278429315,0.558849108811034,1.10771977313155,1.22868245189002,3.02571313014085,TRUE,NA
"mu",1.72413793103448,-0.678631605335082,0.555448785976887,1.11427718226644,1.22981252961827,3.04054085575967,TRUE,NA
"mu",1.69491525423729,-0.682245719770873,0.551967823607833,1.12077638679465,1.23097529295769,3.05545922214568,TRUE,NA
"mu",1.66666666666667,-0.685907081342717,0.548407598861349,1.12721853638907,1.23217212627613,3.07046852423608,TRUE,NA
"mu",1.63934426229508,-0.689615148943038,0.544769512644411,1.13360476791068,1.23340433339738,3.08556905365173,TRUE,NA
"mu",1.61290322580645,-0.693369379307195,0.541054990038127,1.13993620815828,1.23467313708637,3.10076109616085,TRUE,NA
"mu",1.58730158730159,-0.697169225726997,0.537265480458392,1.14621397638062,1.23597967876459,3.11604492930078,TRUE,NA
"mu",1.5625,-0.701014136918792,0.533402457555131,1.15243918654245,1.23732501845805,3.13142082016,TRUE,NA
"mu",1.53846153846154,-0.704903556044081,0.529467418853242,1.15861294933548,1.23871013498126,3.14688902332359,TRUE,NA
"mu",1.51515151515152,-0.708836919878137,0.525461885146078,1.1647363739341,1.24013592635337,3.16244977898232,TRUE,NA
"mu",1.49253731343284,-0.712813658124511,0.521387399646818,1.17081056948876,1.24160321044919,3.17810331120885,TRUE,NA
"mu",1.47058823529412,-0.716833192870162,0.517245526912201,1.17683664636046,1.24311272587867,3.19384982640043,TRUE,NA
"mu",1.44927536231884,-0.720894938176822,0.513037851551172,1.18281571709752,1.24466513309059,3.20968951188896,TRUE,NA
"mu",1.42857142857143,-0.724998299803064,0.508765976734398,1.18874889716011,1.24626101569303,3.22562253471733,TRUE,NA
"mu",1.40845070422535,-0.729142675051568,0.504431522520519,1.194637305398,1.2479008819825,3.24164904058136,TRUE,NA
"mu",1.38888888888889,-0.733327452734383,0.500036124019539,1.20048206429315,1.24958516666945,3.2577691529339,TRUE,NA
"mu",1.36986301369863,-0.737552013250446,0.495581429409496,1.20628429997418,1.25131423279108,3.27398297224979,TRUE,NA
"mu",1.35135135135135,-0.741815728766843,0.491069097829753,1.21204514201899,1.25308837379433,3.29029057544588,TRUE,NA
"mu",1.33333333333333,-0.746117963497067,0.486500797168891,1.21776572305666,1.25490781577806,3.30669201545301,TRUE,NA
"mu",1.31578947368421,-0.750458074067688,0.481878201769595,1.22344717818564,1.25677271987606,3.32318732093338,TRUE,NA
"mu",1.2987012987013,-0.754835409965491,0.477202990070488,1.22909064422373,1.25868318476631,3.33977649613785,TRUE,NA
"mu",1.28205128205128,-0.759249314056977,0.472476842205696,1.23469725880697,1.26063924928699,3.35645952089599,TRUE,NA
"mu",1.26582278481013,-0.76369912317027,0.467701437583103,1.24026815935728,1.26264089514722,3.37323635073104,TRUE,NA
"mu",1.25,-0.76818416873378,0.462878452458308,1.24580448193257,1.2646880497068,3.39010691709321,TRUE,NA
"mu",1.23456790123457,-0.772703777460219,0.4580095575256,1.25130735998269,1.26678058881534,3.40707112770129,TRUE,NA
"mu",1.21951219512195,-0.77725727206959,0.453096415541451,1.25677792302616,1.26891833968903,3.42412886698506,TRUE,NA
"mu",1.20481927710843,-0.781843972042455,0.44814067899747,1.26221729526672,1.27110108380962,3.44127999661912,TRUE,NA
"mu",1.19047619047619,-0.7865955679017,0.443403722327406,1.27007378957049,1.27363402843709,3.45835571615728,TRUE,NA
"mu",1.17647058823529,-0.791100184985979,0.438163128107207,1.27338249169381,1.27701762043522,3.47582557278886,TRUE,NA
"mu",1.16279069767442,-0.795796364161587,0.433034472402146,1.27835974393287,1.27749557896985,3.4932918532128,TRUE,NA
"mu",1.14942528735632,-0.800502948404634,0.427939181168934,1.28370586029012,1.27697919534691,3.51080497040449,TRUE,NA
"mu",1.13636363636364,-0.80522998300126,0.422831455362506,1.28905738676204,1.27647281409076,3.52839532552418,TRUE,NA
"mu",1.12359550561798,-0.809976900045971,0.417712313219975,1.2944148129132,1.27597708714649,3.54606257860805,TRUE,NA
"mu",1.11111111111111,-0.814743139935734,0.412582744750983,1.29977861815403,1.27549262402767,3.56380638407231,TRUE,NA
"mu",1.0989010989011,-0.819528151318447,0.40744371236113,1.30514927147619,1.27501999280911,3.5816263908034,TRUE,NA
"mu",1.08695652173913,-0.824331391048868,0.402296151454203,1.31052723121767,1.27455972113355,3.59952224226853,TRUE,NA
"mu",1.0752688172043,-0.829152324150914,0.397140971014727,1.31591294485589,1.27411229723219,3.61749357664484,TRUE,NA
"mu",1.06382978723404,-0.83399042378522,0.39197905417245,1.32130684882742,1.27367817095874,3.63554002696542,TRUE,NA
"mu",1.05263157894737,-0.838845171220906,0.386811258750307,1.32670936837293,1.2732577548365,3.6536612212806,TRUE,NA
"mu",1.04166666666667,-0.843716055810681,0.381638417797097,1.33212091740618,1.27285142511802,3.6718567828327,TRUE,NA
"mu",1.03092783505155,-0.848602574968399,0.376461340106131,1.33754189840578,1.27245952285613,3.69012633024297,TRUE,NA
"mu",1.02040816326531,-0.853504234148237,0.371280810721187,1.34297270232891,1.27208235498564,3.70846947770894,TRUE,NA
"mu",1.01010101010101,-0.85842054682487,0.366097591430548,1.34841370854564,1.27172019541444,3.72688583521108,TRUE,NA
"mu",1,-0.863351034473942,0.360912421250226,1.35386528479316,1.27137328612252,3.7453750087272,TRUE,NA
"mu",0.99009900990099,-0.868295226552204,0.355726016897377,1.35932778714915,1.27104183826768,3.76393660045332,TRUE,NA
"mu",0.980392156862745,-0.873252660476896,0.350539073254407,1.36480156002278,1.27072603329628,3.78257020902995,TRUE,NA
"mu",0.970873786407767,-0.878222881603804,0.345352263824767,1.37028693616356,1.27042602405735,3.80127542977246,TRUE,NA
"mu",0.961538461538461,-0.883205443203668,0.340166241180839,1.37578423668609,1.27014193591825,3.82005185490456,TRUE,NA
"mu",0.952380952380952,-0.8881999064364,0.334981637404874,1.38129377111098,1.26987386788045,3.8388990737936,TRUE,NA
"mu",0.943396226415094,-0.89320584032309,0.329799064522865,1.38681583742045,1.2696218936929,3.85781667318725,TRUE,NA
"mu",0.934579439252336,-0.898222821715236,0.324619114932427,1.3923507221282,1.26938606296182,3.87680423745006,TRUE,NA
"mu",0.925925925925926,-0.903250435261144,0.319442361824693,1.39789870036262,1.26916640225457,3.89586134879942,TRUE,NA
"mu",0.917431192660551,-0.908288273369211,0.314269359600781,1.40346003596337,1.26896291619588,3.91498758754,TRUE,NA
"mu",0.909090909090909,-0.913335936168089,0.309100644282805,1.40903498158919,1.26877558855453,3.93418253229601,TRUE,NA
"mu",0.900900900900901,-0.918393031463401,0.303936733920114,1.41462377883771,1.26860438331857,3.95344576024051,TRUE,NA
"mu",0.892857142857143,-0.923459174691139,0.29877812899053,1.42022665837586,1.2684492457573,3.97277684732122,TRUE,NA
"mu",0.884955752212389,-0.928533988867572,0.293625312796968,1.42584384008031,1.26831010346854,3.9921753684823,TRUE,NA
"mu",0.87719298245614,-0.933617104535747,0.288478751859377,1.43147553318692,1.26818686740871,4.01164089788169,TRUE,NA
"mu",0.869565217391304,-0.938708159708326,0.283338896302616,1.43712193644972,1.2680794329053,4.03117300910297,TRUE,NA
"mu",0.862068965517241,-0.94380679980723,0.278206180239397,1.44278323830727,1.26798768064899,4.05077127536234,TRUE,NA
"mu",0.854700854700855,-0.948912677599829,0.273081022148985,1.44845961705657,1.26791147766492,4.07043526970965,TRUE,NA
"mu",0.847457627118644,-0.954025453131628,0.267963825251945,1.45415124103452,1.26785067826113,4.09016456522299,TRUE,NA
"mu",0.840336134453782,-0.959144793656108,0.262854977879672,1.4598582688042,1.26780512495338,4.1099587351976,TRUE,NA
"mu",0.833333333333333,-0.964270373560995,0.257754853840476,1.46558084934821,1.26777464936515,4.12981735332744,TRUE,NA
